French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
matin,morning
enfant,child
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
enfin,finally
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
